post_hit_ee     ,0.596042, -0.0743345, 0.151683, -0.501429, -0.489835, -0.514459, 0.493926, 0.454064, 0.724118, -0.35634, 0.527748, -0.03458, 0.223218
pre_hit_object  ,0.6, 0.1, 0.16499
end_object      ,0.605244, 0.506636, 0.164995


trial_no.       ,11
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.3631, 1.27171, 0.16993, -1.19686, -1.87717, -1.63288, -2.45675
post_hit_joints ,-0.345478, 1.29811, 0.187096, -1.1655, -1.87014, -1.6212, -2.44712
pre_hit_ee      ,0.612224, -0.0876136, 0.153595, -0.50396, -0.489597, -0.51403, 0.492029, 0.39, 0.72399, -0.454205, 0.550494, -0.0502094, 0.143466
post_hit_ee     ,0.619231, -0.0751892, 0.147069, -0.500627, -0.48815, -0.515739, 0.495071, 0.42284, 0.734163, -0.338253, 0.567734, -0.0397426, 0.223643
pre_hit_object  ,0.625, 0.1, 0.16499
end_object      ,0.62852, 0.490213, 0.164995


trial_no.       ,12
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.336907, 1.33638, 0.163164, -1.06623, -1.85386, -1.65654, -2.39328
post_hit_joints ,-0.319787, 1.36172, 0.181666, -1.03578, -1.8489, -1.64459, -2.38378
pre_hit_ee      ,0.63701, -0.0932361, 0.149957, -0.502042, -0.487901, -0.515096, 0.494553, 0.349126, 0.748752, -0.428214, 0.574179, -0.0514264, 0.151615
post_hit_ee     ,0.649782, -0.067153, 0.137262, -0.494839, -0.484844, -0.518694, 0.501016, 0.372348, 0.72546, -0.318268, 0.59024, -0.0468574, 0.241585
pre_hit_object  ,0.65, 0.1, 0.165
end_object      ,0.657219, 0.458066, 0.164995


trial_no.       ,13
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.308106, 1.42525, 0.14196, -0.902775, -1.81587, -1.69943, -2.32232
post_hit_joints ,-0.291523, 1.44657, 0.165506, -0.872164, -1.8152, -1.68531, -2.3086
pre_hit_ee      ,0.66612, -0.0932414, 0.134571, -0.495215, -0.483889, -0.518248, 0.502029, 0.287378, 0.758523, -0.398722, 0.6616, -0.0584043, 0.153486
post_hit_ee     ,0.670873, -0.0809334, 0.128633, -0.491706, -0.482085, -0.52031, 0.505072, 0.311645, 0.749416, -0.295397, 0.638886, -0.0556898, 0.226188
pre_hit_object  ,0.675, 0.1, 0.165
end_object      ,0.677959, 0.499736, 0.164994


trial_no.       ,14
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.230066, 1.65549, 0.043068, -0.369598, -1.65275, -1.81531, -2.02412
post_hit_joints ,-0.212127, 1.66227, 0.0594427, -0.340269, -1.6571, -1.80136, -2.00062
pre_hit_ee      ,0.737458, -0.0867154, 0.13675, -0.474244, -0.486832, -0.514078, 0.52327, 0.317649, 0.684551, 0.229937, 0.187141, -0.0308156, 0.289233
post_hit_ee     ,0.743457, -0.0732419, 0.141982, -0.472563, -0.488129, -0.512861, 0.524774, 0.32053, 0.746243, 0.284899, -0.0212828, -0.0252538, 0.314158
pre_hit_object  ,0.7, 0.1, 0.16499
end_object      ,0.672192, 0.526585, 0.164996


trial_no.       ,15
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
