Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
34,2024-03-05_12:20:48,9,7,1.2,0.9874301552772522,0.6696250971984049,4.048208946373504,"[0.5904603004455566, 0.32020482420921326, 0.20596085488796234]","[0.5401259660720825, 0.1988980770111084, 0.23259256780147552]",[ 0.00448138 -0.00677553  0.05808543  0.99827856],[-0.65622585 -0.0013446  -0.02609784  0.75411188]
35,2024-03-05_12:20:48,46,14,1.2,0.868565022945404,0.37538083795061894,5.1544074155290005,"[0.48651477694511414, -0.1753729283809662, 0.2037903517484665]","[0.4975730776786804, -0.031265366822481155, 0.1759399175643921]",[-0.00859655  0.00756005  0.99535898 -0.09554817],[ 0.47203858 -0.48125537  0.5308588   0.51357744]
36,2024-03-05_12:20:48,17,7,1.2,0.9160503149032593,0.4811640844554568,4.0965350698882785,"[0.711256206035614, 0.34428274631500244, 0.2077406495809555]","[0.7169948816299438, 0.19547630846500397, 0.21694236993789673]",[ 0.00539449 -0.00743895 -0.03888995  0.99920125],[-0.65714656 -0.00577756 -0.01236022  0.75363933]
37,2024-03-05_12:20:48,3,7,1.2,1.0193902254104614,0.5425284699731588,3.866342912339402,"[0.5263060331344604, 0.2753193974494934, 0.20515559613704681]","[0.47966641187667847, 0.14609965682029724, 0.22507095336914062]",[-0.00246672  0.00138146  0.77379887  0.63342506],[-0.66430222 -0.01141377 -0.01798612  0.74716048]
38,2024-03-05_12:20:48,29,7,1.2,0.9584581851959229,0.666547398043288,3.902413699140268,"[0.60700923204422, 0.2839873135089874, 0.20622925460338593]","[0.5781131386756897, 0.15604685246944427, 0.2269102782011032]",[ 0.00435385 -0.00678103  0.07014108  0.99750453],[-0.65212021 -0.00634171 -0.01946242  0.75783918]
39,2024-03-05_12:20:48,72,14,1.2,0.8216403126716614,0.31348460024014946,5.354480765351846,"[0.5627766251564026, -0.22066202759742737, 0.20488284528255463]","[0.49861764907836914, -0.08106481283903122, 0.2505485415458679]",[ 0.00967393 -0.0107959  -0.65865721  0.7523035 ],[ 0.49281406 -0.47920153  0.53152603  0.49495482]
40,2024-03-05_12:20:48,52,14,1.2,0.7996020317077637,0.32636645135690223,5.502869067874787,"[0.6149740815162659, -0.24699243903160095, 0.20586256682872772]","[0.5594215989112854, -0.08345600217580795, 0.21479454636573792]",[-9.45404581e-04 -4.52469540e-04  7.16939307e-01  6.97134801e-01],[ 0.47621715 -0.46085206  0.55156952  0.50656062]
41,2024-03-05_12:20:48,89,7,1.2,0.9420229196548462,0.6446941529651807,3.8512518186296543,"[0.618076503276825, 0.2665558159351349, 0.2063564509153366]","[0.5951704978942871, 0.14029961824417114, 0.2230200618505478]",[-0.00927183  0.00855075  0.99681554 -0.0787382 ],[-0.64726479 -0.00782931 -0.0202947   0.7619548 ]
42,2024-03-05_12:20:48,88,14,1.2,0.7959832549095154,0.3172050176264129,5.345252867556474,"[0.5909656286239624, -0.21184411644935608, 0.2053695172071457]","[0.5242599844932556, -0.061605051159858704, 0.22180601954460144]",[-0.00887574  0.0078518   0.99978965 -0.01673972],[ 0.48782214 -0.46798661  0.54470229  0.49630385]
43,2024-03-05_12:20:48,91,7,1.2,0.932410478591919,0.6371365755849376,3.7671454893857996,"[0.6022573709487915, 0.23916441202163696, 0.2060786932706833]","[0.5674589276313782, 0.11532879620790482, 0.22075216472148895]",[-0.00893374  0.00739792  0.99825791 -0.05784979],[-0.6504711  -0.00708757 -0.02152337  0.7591929 ]
44,2024-03-05_12:20:48,84,14,1.2,0.7849751114845276,0.3626667309073345,5.380240913163639,"[0.6005089282989502, -0.21281185746192932, 0.20536677539348602]","[0.5385066866874695, -0.06542830914258957, 0.22367136180400848]",[-0.00837915  0.00727583  0.99638672 -0.08420431],[ 0.48593007 -0.46540065  0.547783    0.49720015]
45,2024-03-05_12:20:48,69,7,1.2,0.9716020822525024,0.5242523520764064,3.9362784851259414,"[0.5960345268249512, 0.2878432869911194, 0.20612798631191254]","[0.5514840483665466, 0.1685645878314972, 0.2272971272468567]",[-2.12069109e-03  6.10265448e-04  7.68794514e-01  6.39492084e-01],[-0.65363142 -0.00469053 -0.02408093  0.75641528]
